Book,Chapter,Verse
Genesis,5,3
Genesis,5,6
Genesis,5,9
Genesis,5,12
Genesis,5,15
Genesis,5,18
Genesis,5,21
Genesis,5,25
Genesis,5,28
Genesis,7,11
Genesis,7,24
Genesis,8,3
Genesis,8,4
Genesis,8,5
Genesis,8,13
Genesis,8,14
Genesis,10,24
Genesis,11,10
Genesis,11,12
Genesis,11,13
Genesis,11,14
Genesis,11,15
Genesis,11,16
Genesis,11,17
Genesis,11,18
Genesis,11,19
Genesis,11,20
Genesis,11,21
Genesis,11,22
Genesis,11,23
Genesis,11,24
Genesis,11,25
Genesis,11,26
Genesis,15,13
Genesis,46,27
Genesis,47,28
Genesis,50,26
Exodus,1,5
Exodus,12,40
Exodus,12,41
Exodus,24,10
Leviticus,11,6
Leviticus,11,7
Numbers,10,35
Numbers,21,14
Numbers,24,7
Numbers,33,4
Deuteronomy,10,6
Deuteronomy,23,2
Deuteronomy,27,4
Deuteronomy,32,8
Deuteronomy,32,43
