Index,Book,Chapter,Verse,MT_Text,User_Input_Text,Authoritative_Text,Replaced,Reason,RetroversionConfidence,MappingMethod,SanityNote
1,Genesis,1,1,<big>ב</big>ראשית ברא אלהים את השמים ואת הארץ׃,בראשית ברא אלהים את השמים ואת הארץ,<big>ב</big>ראשית ברא אלהים את השמים ואת הארץ׃,NO,No retroversion entry,,index,
2,Genesis,1,2,והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים׃,והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים,והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים׃,NO,No retroversion entry,,index,
3,Genesis,1,3,ויאמר אלהים יהי אור ויהי אור׃,ויאמר אלהים יהי אור ויהי אור,ויאמר אלהים יהי אור ויהי אור׃,NO,No retroversion entry,,index,
4,Genesis,1,4,וירא אלהים את האור כי טוב ויבדל אלהים בין האור ובין החשך׃,וירא אלהים את האור כי טוב ויבדל אלהים בין האור ובין החשך,וירא אלהים את האור כי טוב ויבדל אלהים בין האור ובין החשך׃,NO,No retroversion entry,,index,
5,Genesis,1,5,"ויקרא אלהים&thinsp;<small>׀</small>&thinsp;לאור יום ולחשך קרא לילה ויהי ערב ויהי בקר יום אחד׃&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>",ויקרא אלהים לאור יום ולחשך קרא לילה ויהי ערב ויהי בקר יום אחד,"ויקרא אלהים&thinsp;<small>׀</small>&thinsp;לאור יום ולחשך קרא לילה ויהי ערב ויהי בקר יום אחד׃&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>",NO,No retroversion entry,,index,
6,Genesis,1,6,ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים׃,ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים,ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים׃,NO,No retroversion entry,,index,
7,Genesis,1,7,ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי כן׃,ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי כן,ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי כן׃,NO,No retroversion entry,,index,
8,Genesis,1,8,"ויקרא אלהים לרקיע שמים ויהי ערב ויהי בקר יום שני׃&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>",ויקרא אלהים לרקיע שמים ויהי ערב ויהי בקר יום שני,"ויקרא אלהים לרקיע שמים ויהי ערב ויהי בקר יום שני׃&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>",NO,No retroversion entry,,index,
9,Genesis,1,9,ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ותראה היבשה ויהי כן׃,ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ותראה היבשה ויהי כן,ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ותראה היבשה ויהי כן׃,NO,No retroversion entry,,index,
10,Genesis,1,10,ויקרא אלהים&thinsp;<small>׀</small>&thinsp;ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב׃,ויקרא אלהים ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב,ויקרא אלהים&thinsp;<small>׀</small>&thinsp;ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב׃,NO,No retroversion entry,,index,
11,Genesis,1,11,ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן׃,ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן,ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן׃,NO,No retroversion entry,,index,
12,Genesis,1,12,ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו למינהו וירא אלהים כי טוב׃,ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו למינהו וירא אלהים כי טוב,ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו למינהו וירא אלהים כי טוב׃,NO,No retroversion entry,,index,
13,Genesis,1,13,"ויהי ערב ויהי בקר יום שלישי׃&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>",ויהי ערב ויהי בקר יום שלישי,"ויהי ערב ויהי בקר יום שלישי׃&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>",NO,No retroversion entry,,index,
