Book,Chapter,Verse,Original_User_Text,Authoritative_Text,Replaced
Genesis,1,1,בראשית ברא אלהים את השמים ואת הארץ,בראשית ברא אלהים את השמים ואת הארץ,NO
Genesis,1,2,והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים,והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים,NO
Genesis,1,3,ויאמר אלהים יהי אור ויהי אור,ויאמר אלהים יהי אור ויהי אור,NO
Genesis,1,4,וירא אלהים את האור כי טוב ויבדל אלהים בין האור ובין החשך,וירא אלהים את האור כי טוב ויבדל אלהים בין האור ובין החשך,NO
Genesis,1,5,ויקרא אלהים לאור יום ולחשך קרא לילה ויהי ערב ויהי בקר יום אחד,ויקרא אלהים לאור יום ולחשך קרא לילה ויהי ערב ויהי בקר יום אחד,NO
Genesis,1,6,ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים,ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים,NO
Genesis,1,7,ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי כן,ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי כן,NO
Genesis,1,8,ויקרא אלהים לרקיע שמים ויהי ערב ויהי בקר יום שני,ויקרא אלהים לרקיע שמים ויהי ערב ויהי בקר יום שני,NO
Genesis,1,9,ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ותראה היבשה ויהי כן,ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ותראה היבשה ויהי כן,NO
Genesis,1,10,ויקרא אלהים ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב,ויקרא אלהים ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב,NO
Genesis,1,11,ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן,ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן,NO
Genesis,1,12,ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו למינהו וירא אלהים כי טוב,ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו למינהו וירא אלהים כי טוב,NO
Genesis,1,13,ויהי ערב ויהי בקר יום שלישי,ויהי ערב ויהי בקר יום שלישי,NO
Genesis,1,14,ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים,ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים,NO
Genesis,1,15,והיו למאורת ברקיע השמים להאיר על הארץ ויהי כן,והיו למאורת ברקיע השמים להאיר על הארץ ויהי כן,NO
