StartIndex,Indices,Letters
6547,"6547,6597,6647,6697",יהוה
23796,"23796,23846,23896,23946",יהוה
32847,"32847,32897,32947,32997",יהוה
57170,"57170,57220,57270,57320",יהוה
81633,"81633,81683,81733,81783",יהוה
82418,"82418,82468,82518,82568",יהוה
119673,"119673,119723,119773,119823",יהוה
130284,"130284,130334,130384,130434",יהוה
140930,"140930,140980,141030,141080",יהוה
143303,"143303,143353,143403,143453",יהוה
146388,"146388,146438,146488,146538",יהוה
151028,"151028,151078,151128,151178",יהוה
152153,"152153,152203,152253,152303",יהוה
157652,"157652,157702,157752,157802",יהוה
163068,"163068,163118,163168,163218",יהוה
164141,"164141,164191,164241,164291",יהוה
177035,"177035,177085,177135,177185",יהוה
206116,"206116,206166,206216,206266",יהוה
226090,"226090,226140,226190,226240",יהוה
247813,"247813,247863,247913,247963",יהוה
247880,"247880,247930,247980,248030",יהוה
249135,"249135,249185,249235,249285",יהוה
257428,"257428,257478,257528,257578",יהוה
265449,"265449,265499,265549,265599",יהוה
276730,"276730,276780,276830,276880",יהוה
